cell-line	canonical_name	resource	Amelogenin	CSF1PO	D13S317	D16S539	D18S51	D19S433	D21S11	D2S1338	D3S1358	D5S818	D7S820	D8S1179	FGA	Penta	TH01	TPOX	vWA
HAAE-2	HAAE-2	ATCC:CRL-2473	"X,Y"	"10,11"	"11,12"	"12,13"	0	0	0	0	0	"12,13"	"8,10"	0	0	0	"7,9"	"10,11"	"14,18"
																			
MEG-01s	MEG-01s	JCRB:IFO50473	"X,Y"	"10,11"	8	9	0	0	0	0	0	13	11	0	0	0	"7,8"	"8,11"	16
																			
Hs 782.Sk	Hs 782.Sk	ATCC:CRL-7513	X	10	"9,11"	12	0	0	0	0	0	12	"8,9"	0	0	0	9.3	"8,11"	"14,18"
																			
NCI-H2030	NCI-H2030	GNE:131775	X	11	12	12	"17,18"	0	30	0	18	11	10	"11,15"	"20,24"	E	9.3	"9,12"	15
																			
ACC-MESO-4	ACC-MESO-4	RCB:2293	"X,Y"	12	"8,11"	"9,10"	0	0	0	0	0	"9,11"	"12,14"	0	0	0	"7,8"	11	17
																			
CoCM-1	CoCM-1	GNE:131235	X	12	10	"12,13"	14	0	"29,31"	0	"16,18"	"11,12"	"9,11"	13	24	E	"7,9"	8	"16,17"
																			
NALM-16	0	DSM:ACC-680	X	11	12	13	0	0	0	0	0	11	10	0	0	0	8	11	17
																			
NCI-H2171	NCI-H2171	GNE:130849	"X,Y"	10	11	"12,13"	"18,21"	0	"28,32.2"	0	15	13	"11,13"	12	22	E	9.3	8	17
																			
KMRC-1	KMRC-1	GNE:586966	X	"9,10"	8	"9,12"	12	"13,14"	"30,32.1"	"18,19"	15	11	"11,12"	"10,13"	"21,22,23"	E	"7,8"	8	"17,19"
																			
HE12	HE12	RCB:2233	"X,Y"	"12,13"	8	9	0	0	0	0	0	13	"10,12"	0	0	0	"7,9"	"8,9"	"16,18"
																			
WM39	WM39	ATCC:CRL-2811	"X,Y"	"10,11"	"10,12"	12	0	0	0	0	0	11	14	0	0	0	"8,9.3"	"8,11"	"17,18"
																			
CCD 1113SK	0	ATCC:CRL-2439	X	12	12	"11,13"	0	0	0	0	0	"12,13"	"11,13"	0	0	0	"6,7"	"8,9"	"13,17"
																			
PA-TU-8902	PA-TU-8902	GNE:586316	X	"10,11"	"11,12"	"9,11"	15	0	30	0	"16,18"	"11,12"	"8,10"	13	23	E	9.3	8	18
																			
HCC2157	HCC2157	GNE:587120	X	10	12	"11,12"	15	0	"28,29"	0	"16,18"	13	"10,12"	13	21	E	"8,9"	"9,11"	"14,18"
																			
H322T	H322T	GNE:131975	X	12	12	"11,12"	17	0	28	0	15	11	11	"12,15"	22	E	7	8	17
																			
KYSE180	KYSE-180	JCRB:1083	X	"12,13"	"9,12"	"9,10"	0	0	0	0	0	"8,11"	"9,12"	0	0	0	7	11	"16,17"
																			
NCI-H1666	NCI-H1666	GNE:130538	X	11	15	13	14	0	"29,32.2"	0	"16,18"	10	"8,11"	"13,14"	"20.2,21"	E	"8,9.3"	11	"16,17"
																			
KMS-6	KMS-6	JCRB:0432	X	"9,12"	"10,11"	"9,11"	0	0	0	0	0	"10,12"	9	0	0	0	9	"11,12"	"14,18"
																			
LCL 721.221	0	ATCC:CRL-1855	X	"11,12"	"11,12"	12	0	0	0	0	0	12	"10,11"	0	0	0	9.3	"8,12"	"14,17"
																			
