cell-line	canonical_name	resource	Amelogenin	CSF1PO	D13S317	D16S539	D18S51	D19S433	D21S11	D2S1338	D3S1358	D5S818	D7S820	D8S1179	FGA	Penta	TH01	TPOX	vWA
																			
SNU-C1	SNU-C1	GNE:586493	X	12	"9,11"	"9,11"	16	0	30	0	17	10	"10,11"	"13,15"	24	E	"7,9"	"11,12"	"16,18"
																			
DND-41	DND-41	DSM:ACC-525	"X,Y"	"10,12"	"10,11"	"10,14"	0	0	0	0	0	"12,13"	"8,12"	0	0	0	"8,10"	"8,11"	"15,16"
																			
COR-L26	COR-L26	GNE:586431	X	"12,13"	11	"11,13"	15	0	"28,30"	0	18	"11,13"	"9,11"	"11,14"	"18,19"	E	"6,9.3"	"8,10"	"16,18"
																			
WS1	WS1	ATCC:CRL-1502	X	"10,13"	12	"10,11"	0	0	0	0	0	13	"9,10"	0	0	0	"8,10"	"8,9"	"17,18"
																			
MAVER-1	0	ATCC:CRL-3008	"X,Y"	"10,11"	"8,13"	"9,12"	0	0	0	0	0	12	8	0	0	0	"8,9"	"8,12"	"14,18"
																			
KARPAS-620	KARPAS-620	GNE:586219	X	"9,10"	"12,14"	"11,12"	"13,18"	0	"29,31.2"	0	"14,16"	"9,11"	9	"10,15"	26	E	"6,7"	"11,12"	"17,19"
																			
Yub642	Yub642	JCRB:1172	"X,Y"	10	"8,10"	"9,10"	0	0	0	0	0	"10,13"	"8,11"	0	0	0	6	"10,11"	"16,18"
																			
624 mel	501A	GNE:131311	"X,Y"	10	"10,13"	14	16	0	29	0	"14,16"	12	"10,12"	12	24	E	9.3	"8,10"	18
																			
LU99	LU99	JCRB:0080	X	"10,15"	"10,11"	9	0	0	0	0	0	12	11	0	0	0	9	11	18
																			
GS-109-IV-8	GS-109-IV-8	ATCC:CRL-1672	X	"10,12"	"12,14"	"11,12"	0	0	0	0	0	12	"8,12"	0	0	0	"9,9.3"	"8,10"	14
																			
MOLT-14	MOLT-14	DSM:ACC-437	X	"11,13"	"11,12,13"	"9,11"	0	0	0	0	0	"11,12"	"10,13"	0	0	0	"8,9.3"	8	"17,19,18"
																			
hES BG01V	hES BG01V	ATCC:SCRC-2002	"X,Y"	10	"11,12"	"9,11"	0	0	0	0	0	"10,12"	"10,11"	0	0	0	"7,9.3"	8	"16,17"
																			
NCI-H835	NCI-H835	ATCC:CRL-5843	X	11	12	13	0	0	0	0	0	11	"8,10"	0	0	0	"8,9.3"	8	16
																			
SU-DHL-4	SU-DHL-4	GNE:586100	"X,Y"	12	"11,12"	"11,13"	"14,16"	0	"29,30"	0	"15,16"	"11,12"	"8,11"	13	"19,21"	E	"6,9.3"	"9,11"	"18,19"
																			
NCI-H1092	NCI-H1092	GNE:586467	"X,Y"	11	"11,14"	"11,12"	14	0	"29,33.2"	0	17	12	"10,12"	"13,14"	"21,24"	E	"7,9.3"	"8,11"	"15,18"
																			
UACC1598	0	ATCC:CRL-3128	X	10	13	"11,12"	0	0	0	0	0	13	"7,9"	0	0	0	"7,9.3"	"8,11"	14
																			
Amdur II	Amdur II	ATCC:CCL-124	"X,Y"	"10,11"	"10,11"	"9,12"	0	0	0	0	0	"9,13"	"9,12"	0	0	0	"6,9"	"8,11"	16
																			
Hs 222.Sp	Hs 222.Sp	ATCC:CRL-7189	X	"10,12"	"9,11"	"12,13"	0	0	0	0	0	"11,12"	"9,11"	0	0	0	"6,9.3"	11	"16,18"
																			
KG-1-C	KG-1-C	JCRB:0236	"X,Y"	"12,13"	9	9	0	0	0	0	0	"11,12"	11	0	0	0	6	9	18
																			
PANC-1	PANC-1	GNE:584435	X	"10,12"	11	11	12	0	28	0	17	"11,13"	"8,10"	"14,15"	21	E	"7,8"	"8,11"	15
																			
MDA-MB-157	MDA-MB-157	ATCC:HTB-24	X	10	"11,12"	11	16	0	"31,31.2"	0	16	12	"10,11"	"12,14"	23	E	"7,8"	"9,11"	15
																			
KMST-6	KMST-6	JCRB:0433	X	"9,12"	"10,11"	11	0	0	0	0	0	"10,12"	9	0	0	0	9	"11,12"	"14,18"
																			
G-401	G-401	GNE:586919	"X,Y"	"11,13"	"9,14"	12	14	"13,14"	"31,32.2,33.2"	"18,24"	"16,18"	13	"11,14"	"13,14"	"24,27"	E	9.3	11	16
																			
SAS	SAS	JCRB:0260	X	11	"10,12"	"12,13"	0	0	0	0	0	9	"11,12"	0	0	0	"6,7"	"11,12"	"14,17,10"
																			
SNU-5	SNU-5	GNE:587041	X	12	"8,9"	13	13	"13.2,15"	29	17	16	10	"8,12"	"14,15"	21	E	9	11	"15,16"
																			
ME-180	ME-180	ATCC:CRL-7932	X	11	"11,12"	"12,13"	12	0	"30,31"	0	16	12	"9,10"	14	23	E	"8,9.3"	"8,10"	"15,17"
																			
MCF 10A	MCF 10A	GNE:131434	X	"10,12"	"8,9"	"11,12"	"18,19"	0	"28,30"	0	"14,18"	"10,13"	"10,11"	"14,16"	"22,24"	E	"8,9.3"	"9,11"	"15,17"
																			
CCD-18Lu	0	ATCC:CCL-205	X	8	12	"12,13"	0	0	0	0	0	12	8	0	0	0	"6,7"	"8,11"	"15,17"
																			
Hs 781.Sk	Hs 781.Sk	ATCC:CRL-7510	"X,Y"	"11,12"	12	"12,13"	0	0	0	0	0	"11,12"	10	0	0	0	"8,9"	8	"16,19"
																			
NCI-H1792	NCI-H1792	GNE:587135	X	10	12	"10,11"	"15,17"	0	31	0	15	12	"8,11"	"12,15"	"22,24"	E	7	11	"14,16"
																			
G44	G44	GNE:132486	X	10	11	"12,13"	"12,14"	0	"27,29"	0	"14,16"	"7,9"	"8,9"	"12,14"	"21,24"	E	9.3	8	"18,19"
																			
166-ME SK	166-ME SK	ATCC:CRL-1533	"X,Y"	"8,12"	12	"12,13"	0	0	0	0	0	"8,11"	"10,11"	0	0	0	7	"8,10"	"15,19"
																			
CGTH-W-1	CGTH-W-1	GNE:586849	X	"13,13"	"13,13"	"11,11"	"15,17"	"13,14"	"29,31"	"17,18"	"15,18"	"11,11"	"8,9"	"11,13"	"21,24"	E	"8,9.3"	"8,10"	"14,18"
																			
NCI-BL1339	NCI-BL1339	ATCC:CRL-5950	X	10	11	"11,13"	0	0	0	0	0	"11,13"	"10,12"	0	0	0	"7,9.3"	"8,11"	"17,19"
																			
NCI-H2342	NCI-H2342	GNE:586457	"X,Y"	10	12	13	17	0	"31.2,32"	0	14	12	10	"14,15"	20	E	"9,9.3"	"8,10"	17
																			
HE46	HE46	RCB:2262	X	"9,12"	"8,9"	"9,11"	0	0	0	0	0	"12,13"	"10,11"	0	0	0	"6,9"	"8,11"	"17,18"
																			
U-373 MG (Uppsala)	U-373 MG (Uppsala)	ECACC:08061901	X	"11,12"	8	"12,13"	0	0	0	0	0	12	"8.2,12"	0	0	0	"7,9.3"	8	"17,18"
																			
Hs 275.Sk	Hs 275.Sk	ATCC:CRL-7223	X	"12,13"	12	"10,11"	0	0	0	0	0	"11,12"	"10,11"	0	0	0	"6,9.3"	"7,9"	"14,15"
																			
CCD-973Sk	RS4;11	ATCC:CRL-1892	X	"11,12"	"11,12"	"11,12"	0	0	0	0	0	"12,13"	"8,11"	0	0	0	"6,9.3"	8	"14,17"
																			
KE-39	KE-39	GNE:586833	X	13	"8,10"	11	"14,15"	"14.2,16.2"	30	22	17	10	11	"11,16"	"22,23"	E	7	"9,11"	14
																			
HSY	HeLa	JCRB:CHB0001	X	9	"12,13.3"	"9,10"	0	0	0	0	0	11	"8,12"	0	0	0	7	"8,12"	"16,18"
																			
FLO-1	0	DSM:ACC-698	X	11	11	"12,13"	0	0	0	0	0	"12,14"	8	0	0	0	6	"9,11"	16
																			
RERF-LC-AI	RERF-LC-AI	RCB:0444	X	10	12	10	0	0	0	0	0	11	"8,12"	0	0	0	7	11	17
																			
SW 900	SW 900	GNE:586508	X	11	8	11	19	0	"29,31"	0	14	11	"11,12"	"11,16"	"21,23"	E	8	11	16
																			
Hs 565(A).Mg	Hs 565(A).Mg	ATCC:CRL-7330	X	10	"8,11"	"11,12"	0	0	0	0	0	11	"10,12"	0	0	0	"8,9.3"	11	"17,18"
																			
NCI-H1618	NCI-H1618	ATCC:CRL-5879	X	10	9	"11,13"	0	0	0	0	0	10	8	0	0	0	6	"8,11"	"16,17"
																			
SR	SR	GNE:134130	"X,Y"	"14,15"	11	"11,13"	"13,14"	0	"28,30"	0	"14,16"	11	"9,12"	13	"20,22"	E	"6,7"	"8,11"	"17,18"
																			
HCC4019	HCC4019	GNE:586509	"X,Y"	"10,12"	12	11	"12,18"	0	"25.2,31"	0	16	"12,13"	"9,10"	"13,14"	"24,25"	E	9	"8,11"	"17,18"
																			
HCN-2	HCN-2	ATCC:CRL-10742	X	"10,15"	"11,12"	"8,11"	0	0	0	0	0	13	"9,11"	0	0	0	"6,9.3"	8	"14,20"
																			
ULA	ULA	DSM:ACC-627	"X,Y"	"9,10"	"9,12"	"11,12"	0	0	0	0	0	"11,12"	11	0	0	0	9.3	"8,10"	"17,18"
																			
COR-L279	COR-L279	GNE:586432	"X,Y"	11	12	11	"13,16"	0	"30,32.2"	0	15	12	"9,10"	12	22	E	"6,9.3"	"9,11"	"16,17"
																			
WA13	0	0	"X,Y"	12	"11,12"	"9,11"	0	0	0	0	0	"11,13"	"10,11"	0	0	0	6	"8,11"	"14,15"
																			
Fsp 62891	0	ATCC:CRL-10935	"X,Y"	"7,10,12,13"	"8,11,14"	"11,12,13"	0	0	0	0	0	12	"8,9,11,12"	0	0	0	"6,7,8,9.3"	"8,9,11"	"16,19"
																			
HS-ES-2M	HS-ES-2M	RCB:2360	"X,Y"	"10,12"	12	"10,11"	0	0	0	0	0	11	8	0	0	0	"7,9"	8	"17,18"
																			
RPMI 6666	RPMI 6666	ATCC:CCL-113	"X,Y"	"12,13"	11	"11,12"	0	0	0	0	0	"11,12"	"9,10"	0	0	0	"6,9"	"10,11"	"14,18"
																			
TL-Mor	TL-Mor	RCB:1881	"X,Y"	"7,12"	"11,12"	"12,13"	0	0	0	0	0	"11,12"	"11,12"	0	0	0	"6,9"	"9,11"	"14,17"
																			
MOLT-17	MOLT-17	RCB:1982	X	"9,10,12"	"10,11,12"	"9,14,15"	0	0	0	0	0	"12,13"	"11,12,13"	0	0	0	9	8	"17,18,19"
																			
VMRC-LCD	VMRC-LCD	GNE:131973	X	11	12	11	14	0	30	0	15	10	"8,10"	13	"22,24"	E	"6,9.3"	"8,11"	"15,17"
																			
RPMI-8226	0	DSM:ACC-402	"X,Y"	12	11	9	0	0	0	0	0	"11,13"	"9,10"	0	0	0	8	"8,11"	16
																			
CCD 1114SK	0	ATCC:CRL-2450	"X,Y"	"11,13"	8	"9,11"	0	0	0	0	0	"12,13"	10	0	0	0	9.3	8	"17,18"
																			
Hs 696	Hs 696	ATCC:HTB-151	"X,Y"	"11,14"	9	"10,12"	0	0	0	0	0	"9,11"	12	0	0	0	"7,9"	"7,11"	14
																			
BCNS1KO	BCNS1KO	GNE:586949	"X,Y"	"11,12"	"8,9"	"9,11"	"16,19"	"13,14.2"	"29,32"	"17,23"	"16,18"	11	"10,12"	"14,15"	"22,24"	E	6	"8,11"	"14,17"
																			
CAL-148	CAL-148	GNE:131965	X	"10,11"	"13,14"	12	"17,18"	0	"28,31.2"	0	"15,17"	12	"9,10"	14	"18,23"	E	7	"8,11"	"17,19"
																			
HCT-15	DLD-1	GNE:132492	"X,Y"	12	"8,11"	"12,13"	"11,17"	0	"29,32.2"	0	17	13	"10,12"	15	22	E	"7,9.3"	"8,11"	"18,19"
																			
HFL-AE-VII	HFLI-AE-VII	RCB:1617	X	"11,12"	"11,12"	"10,12"	0	0	0	0	0	11	8	0	0	0	7	11	"14,19"
																			
L23immo	0	RCB:2833	"X,Y"	"11,12"	14	"9,11"	0	0	0	0	0	12	11	0	0	0	8	8	15
																			
GM19082	0	GNE:586805	"X,Y"	"7,11"	"12,13"	"9,11"	"12,16"	"13,14.2"	"32.2,33.2"	"17,18"	15	"11,12"	"8,12"	"11,14"	24	E	"6,9"	8	18
																			
COV362	COV362	GNE:586057	X	"11,12"	14	11	13	0	"31,32.2"	0	"16,18"	13	"10,14"	11	"23,24"	E	9.3	11	"15,18"
																			
H9	HuT 78	ATCC:HTB-176	"X,Y"	11	"8,12"	"11,12"	0	0	0	0	0	11	"8,11"	0	0	0	"8,9"	"8,9"	"14,15"
																			
UPCI-SCC-200	0	DSM:ACC-672	X	"11,14"	"13,14"	"10,12"	0	0	0	0	0	"9,12"	"10,11"	0	0	0	"6,7"	"8,11"	"17,18"
																			
HCC1833	HCC1833	GNE:587072	X	12	"8,11"	"9,11"	17	"13,14"	28	"19,23"	16	9	"11,12"	"13,15"	20	E	9.3	8	19
																			
OCI-LY-10	OCI-LY-10	GNE:587171	X	"11,12"	"11,12"	13	"14,18"	0	29	0	16	"10,12"	"10,11"	"13,14"	20	E	"6,7"	8	"16,17"
																			
WI-38 VA13 subline 2	WI-38-30	ATCC:CCL-75.1	X	"10,12"	11	"11,12"	0	0	0	0	0	10	"9,11"	0	0	0	9.3	8	"19,20"
																			
TOV-112D	TOV-112D	GNE:131473	X	12	8	"9,12"	17	0	31	0	15	10	"9,10"	"9,13"	20	E	6	"8,11"	18
																			
A7	A7	ATCC:CRL-2500	X	9	8	11	0	0	0	0	0	12	"9,12"	0	0	0	7	7	17
																			
DB	DB	GNE:132784	"X,Y"	"10,11"	"11,12"	11	15	0	"29,31.2"	0	18	11	11	"13,14"	22	E	"6,8"	8	"15,16"
																			
KP-N-NS	KP-N-NS	RCB:0687	X	"10,12"	"10,12"	14	0	0	0	0	0	"10,12"	"11,12"	0	0	0	"7,9"	9	"14,17"
																			
HSB-2	HSB-2	DSM:ACC-435	"X,Y"	"10,11"	"10,12"	"9,12"	0	0	0	0	0	"11,12"	"11,12"	0	0	0	"9,10"	8	"18,19"
																			
HT 144	0	ATCC:HTB-63	"X,Y"	12	"11,12"	"12,13"	0	0	0	0	0	"11,13"	11	0	0	0	"6,9"	"8,11"	"16,18"
																			
CCD-1069Sk	CCD-1069Sk	ATCC:CRL-2089	X	"10,12"	"8,11"	"12,13"	0	0	0	0	0	"9,11"	"9,10"	0	0	0	"6,9"	8	"16,18"
																			
SK-N-FI	SK-N-FI	GNE:586333	"X,Y"	"10,12"	"11,14"	"11,12"	"12,14"	0	"28,30"	0	"16,18"	"12,13"	"8,9"	"11,12"	22	E	"6,9.3"	"8,9"	"16,17"
																			
RS4;11	RS4;11	GNE:586690	X	"11,12"	11	"11,12"	"12,16"	0	"28,30"	0	"15,17"	"12,13"	"8,12"	"13,14"	"24,25"	E	"6,9.3"	8	"14,17"
																			
DU 145	BM-1604	GNE:584460	"X,Y"	"10,11"	"12,13,14"	"11,13"	12	0	"30,33"	0	16	"10,13"	"7,10,11"	"13,14"	22	E	7	11	"17,18"
																			
SK-OV-3	SK-OV-3	GNE:131313	X	11	"8,11"	12	"16,17"	0	"30,31.2"	0	14	11	"13,14"	"14,15"	"24,25"	E	"9,9.3"	"8,11"	"17,18"
																			
ITO-II	ITO-II	JCRB:0613	"X,Y"	12	8	9	0	0	0	0	0	12	11	0	0	0	9	9	"16,21"
																			
HCC2270	HCC2270	GNE:586384	X	"10,14"	"8,11"	13	14	0	"29,30"	0	15	11	"10,12"	"10,12"	"18,24"	E	9	"10,11"	"17,18"
																			
FU-RPNT-2	FU-RPNT-2	RCB:2078	"X,Y"	"9,12"	"8,12"	"12,13"	0	0	0	0	0	"11,12"	"10,12"	0	0	0	9	"8,9"	18
																			
HCEC-H9C1	HCEC-H9C1	DSM:ACC-649	X	12	"8,11"	11	0	0	0	0	0	11	"10,11"	0	0	0	9	8	"14,17"
																			
SF8433	SF8433	RCB:0617	X	"11,12"	"8,9"	12	0	0	0	0	0	"12,13"	"8,12"	0	0	0	"7,9,9.3"	"8,12"	18
																			
TE 130.T	TE 130.T	ATCC:CRL-7746	"X,Y"	"10,12"	"13,14"	11	0	0	0	0	0	12	"10,13"	0	0	0	"7,9.3"	"8,11"	"14,18"
																			
HEC-50B	HEC-50B	GNE:586960	X	"10,12"	9	12	14	13	"30,31"	23	"15,16"	8	12	"10,15"	20	E	9	9	14
																			
MLMA	MLMA	JCRB:0146	X	"12,14"	"8,10"	"9,12"	0	0	0	0	0	11	10	0	0	0	"6,7"	8	"16,17"
																			
Hs 740.Sk	Hs 740.Sk	ATCC:CRL-7478	"X,Y"	"12,13"	"12,13"	"9,12"	0	0	0	0	0	"12,13"	"8,10"	0	0	0	"7,9.3"	"8,12"	"15,16"
																			
T.Tn	T.T	JCRB:0261	"X,Y"	"11,13"	"10,11"	"9,11"	0	0	0	0	0	"8,10"	11	0	0	0	9	"8,11"	"16,17"
																			
NCI-N592	NCI-H69	ATCC:CRL-5832	"X,Y"	"10,12"	12	11	0	0	0	0	0	"11,13"	9	0	0	0	"8,9"	10	"16,17"
																			
T3M-1 Cl-10	T3M-1	RCB:1017	"X,Y"	"10,12"	"10,11"	"9,12"	0	0	0	0	0	"10,13"	"12,13"	0	0	0	"7,9"	11	"16,18"
																			
MS751	MS751	ATCC:HTB-34	X	"11,12"	12	11	12	16	"29,30"	22	19	12	"9,11"	14	20	E	6	8	16
																			
ASH-3	ASH-3	GNE:586948	X	"10,14"	12	9	"13,17"	"13,15.2"	28	"19,23"	15	"11,13"	11	16	"20,22"	E	9	"8,11"	"16,17"
																			
SUM 52PE	SUM 52PE	GNE:586585	X	"10,11"	12	10	16	0	"27,28"	0	18	"11,12"	14	13	21	E	"7,9.3"	8	17
																			
Hs 863.T	Hs 863.T	ATCC:CRL-7598	X	"12,13"	"11,12"	11	0	0	0	0	0	"11,12"	"8,13"	0	0	0	7	8	"14,15"
																			
U-H01	U-H01	DSM:ACC-626	"X,Y"	10	"11,12"	"11,13"	0	0	0	0	0	11	"8,10"	0	0	0	"7,9.3"	"8,10"	18
																			
U-138 MG	U-118 MG	ATCC:HTB-16	"X,Y"	12	"9,11"	"12,13"	0	0	0	0	0	11	9	0	0	0	6	8	18
																			
HCC1263	HCC1263	GNE:586423	X	10	12	"9,11"	20	0	"27,32.2"	0	"16,17"	13	10	15	22	E	"6,8"	6	"13,15"
																			
NCI-H1155	NCI-H1155	GNE:131718	X	12	14	9	16	0	32.2	0	15	10	8	"14,16"	26	E	6	8	15
																			
MOLM-6	MOLM-6	DSM:ACC-611	"X,Y"	"11,12"	"11,13"	"10,11"	0	0	0	0	0	"10,12"	10	0	0	0	9	8	16
																			
SK-GT-2	SK-GT-2	DSM:ACC-702	X	10	"12,13"	"11,12"	0	0	0	0	0	10	"9,10"	0	0	0	"8,9"	"9,12"	"15,18"
																			
MOLT-4F	MOLT-4F	RCB:1936	"X,Y"	"11,12"	"12,13"	"11,12,13"	0	0	0	0	0	"11,12,13"	"7,8,10"	0	0	0	"6,8"	8	"17,18,19"
																			
SPI-801	SPI-801	DSM:ACC-86	X	10	8	"11,12"	0	0	0	0	0	12	"9,11"	0	0	0	9.3	"8,9"	16
																			
NB69	NB69	GNE:586838	"X,Y"	"11,12"	8	"9,11"	"15,16"	"14,15"	"30.2,31.2,32"	"17,23"	"16,17"	"11,12"	10	"13.2,14,15"	"21,25"	E	8	"8,11"	"17,18"
																			
Hs 218.Lu	Hs 218.Lu	ATCC:CRL-7180	X	"7,13"	"8,11"	"10,13"	0	0	0	0	0	11	"10,11"	0	0	0	6	"8,11"	14
																			
NCI-H630	NCI-H630	ATCC:CRL-5833	"X,Y"	"10,11"	"11,12,13,14"	"11,12"	0	0	0	0	0	12	"8,11,12"	0	0	0	"7,9"	"8,9"	"15,16,17,18"
																			
NCI-H146	NCI-H146	GNE:586133	X	11	"11,12"	11	"15,17"	0	30	0	11	12	"9,10"	"12,14"	23	E	"6,9.3"	"8,11"	"14,16"
																			
HT-3	HT-3	GNE:586595	X	12	12	"12,13"	15	14	29	21	15	"10,13"	"8,10"	"13,14"	"21,22"	E	"6,7"	8	"15,18"
																			
Hs 726.Pl	Hs 726.Pl	ATCC:CRL-7460	"X,Y"	"7,11"	"11,12"	"10,11"	0	0	0	0	0	"12,13"	"10,11"	0	0	0	"7,8"	"6,10,11"	"15,17"
																			
Hs 904.Sk	Hs 904.Sk	ATCC:CRL-7650	X	"10,11"	"11,12"	"11,13"	0	0	0	0	0	11	"8,10"	0	0	0	"9,9.3"	"8,11"	"16,19"
																			
HFL-AE-VI	HFL-AE-VI	RCB:1613	X	12	"8,11"	"13,14"	0	0	0	0	0	"10,11"	"11,12"	0	0	0	"6,9"	"8,11"	"17,19"
																			
Detroit 539	Detroit 539	ATCC:CCL-84	X	"9,10"	"11,13"	13	0	0	0	0	0	"11,13"	"9,11"	0	0	0	"8,9"	"8,10"	"16,18"
																			
H-AE-IV	H-AE-IV	RCB:1011	"X,Y"	"11,12"	"8,9"	"10,11"	0	0	0	0	0	"10,11"	9	0	0	0	"6,8"	8	"15,19"
																			
CuFi-6	0	ATCC:CRL-4017	"X,Y"	11	12	"11,12"	0	0	0	0	0	"9,12"	"8,11"	0	0	0	"6,9.3"	"8,10"	"17,19"
																			
184B5	184A1	ATCC:CRL-8799	X	10	11	"11,12"	0	0	0	0	0	11	"9,11"	0	0	0	9.3	11	"18,19"
																			
Hs 801.Pl	Hs 801.Pl	ATCC:CRL-7888	X	"10,11"	"8,12"	"9,12"	0	0	0	0	0	"9,12"	"8,12"	0	0	0	9.3	"8,11"	"17,18"
																			
HCC3212	HCC3212	GNE:587088	X	"11,12"	"8,13"	"9,13"	13	14	"28,30"	19	"15,17"	11	"10,11"	12	22	E	"7,8"	"8,9"	"16,18"
																			
Hs 839.T	Hs 839.T	GNE:586109	X	"10,12"	"11,13"	"11,12"	"16,17"	0	29	0	"14,17"	"11,12"	"10,12"	"12,16"	"20,23"	E	7	"8,11"	"17,18"
																			
RPMI 8402	RPMI 8402	ATCC:CRL-1994	X	"11,12"	"11,12"	"10,11"	0	0	0	0	0	"12,13"	"8,13"	0	0	0	"9,9.3"	8	"14,20"
																			
Hs 822.T	Hs 822.T	ATCC:CRL-7556	X	12	"12,13"	"11,13"	0	0	0	0	0	11	"10,11"	0	0	0	"9,9.3"	"8,11"	16
																			
SNU-620	SNU-620	GNE:586238	X	"10,11"	12	"9,11"	"14,15"	0	"31,32,32.2"	0	"17,18"	11	13	13	"19,24"	E	"6,7"	"8,11"	"16,17,18"
																			
a814	0	JCRB:PSCCA0814	X	"12,13"	"11,12"	"11,12"	0	0	0	0	0	"11,12"	11	0	0	0	"7,9"	"10,11"	"16,19"
																			
DOK	DOK	GNE:586265	"X,Y"	12	"11,13"	"9,12"	"12,15"	0	"29,31"	0	17	12	"11,13"	"9,15"	"20,23"	E	"6,8"	10	"14,18"
																			
FA20P	0	JCRB:3010	"X,Y"	"12,13"	"7,11"	11	0	0	0	0	0	"10,12"	"11,12"	0	0	0	"9,10"	"8,9"	"16,17"
																			
NCI-H1435	NCI-H1435	GNE:131423	X	13	"8,11"	11	17	0	30	0	17	11	"12,14"	"12,13"	"22,23"	E	"6,7"	8	"15,17"
																			
HE39	HE39	RCB:2258	"X,Y"	"11,12"	"8,9"	"11,13"	0	0	0	0	0	"12,15"	"11,13"	0	0	0	"6,9"	"9,11"	"14,18"
																			
a505	0	JCRB:PSCCA0505	"X,Y"	"9,10,12"	"9,12,13"	"8,9,11"	0	0	0	0	0	"10,12,13"	"8,10,11"	0	0	0	"6,7,9"	"8,11,13"	"14,16,19"
																			
Hs 815.Pl	Hs 815.Pl	ATCC:CRL-7548	"X,Y"	12	"11,13"	"11,12"	0	0	0	0	0	"11,12"	"8,10"	0	0	0	"6,9"	"8,11"	"14,16,18"
																			
L-1236	L-1236	DSM:ACC-530	"X,Y"	"10,14"	13	"9,13"	0	0	0	0	0	"11,13"	"9,10"	0	0	0	6	"8,12"	"17,18"
																			
SCC-4	SCC-4	ATCC:CRL-1624	"X,Y"	11	"11,13"	12	0	0	0	0	0	13	"9,11"	0	0	0	9.3	8	"15,17"
																			
NB19	NB19	RCB:0479	X	12	"10,14"	"12,13"	0	0	0	0	0	"11,13"	9	0	0	0	9.3	"8,10"	"16,18"
																			
UPCI-SCC-116	0	DSM:ACC-663	X	"10,12"	"9,11"	"11,12"	0	0	0	0	0	"9,13"	"8,12"	0	0	0	10	"8,10"	"15,18"
																			
MES-SA/MX2	MES-SA	ATCC:CRL-2274	X	11	13	"11,12"	0	0	0	0	0	13	"7,11"	0	0	0	6	"8,12"	18
																			
HCC1395 BL	HCC1395 BL	ATCC:CRL-2325	X	"11,12"	"9,11"	11	0	0	0	0	0	"10,11"	"10,12"	0	0	0	"6,9.3"	"8,11"	"15,17"
																			
DoTc2 4510	DoTc2 4510	ATCC:CRL-7920	X	12	11	"12,13"	0	0	0	0	0	14	"11,13"	0	0	0	7	8	"16,17"
																			
NCI-H920	NCI-H920	ATCC:CRL-5850	X	12	11	"11,13"	"10,13"	0	"29,30"	0	18	13	"10,11"	15	"22,24"	E	9.3	"8,11"	19
																			
HCC1944	HCC1944	GNE:587164	"X,Y"	12	"11,14"	"11,13"	16	0	"29,30"	0	17	11	11	"13,14"	"21,24"	E	7	"10,11"	"16,17"
																			
HCC4011	HCC4011	GNE:586464	"X,Y"	"12,14"	12	"8,11"	"19,20"	0	"31,31.2"	0	18	"12,13"	"9,10"	"11,13"	"19,20"	E	6	11	"16,17"
																			
MSTO-211H	MSTO-211H	ATCC:CRL-2081	"X,Y"	"11,12"	"11,14"	13	0	0	0	0	0	12	"8,12"	0	0	0	"8,9.3"	11	"16,18"
																			
KLE	KLE	GNE:586339	X	"13,14"	12	"11,12"	"13,17"	0	"28,30"	0	17	"9,12"	"11,12"	"8,14"	"23,25"	E	"6,7"	"8,11"	16
																			
KP-4	KP4-1	JCRB:0182	X	"10,12"	10	10	0	0	0	0	0	"10,12"	"10,11"	0	0	0	"9,10"	"9,11"	14
																			
SK-LMS-1	SK-LMS-1	ATCC:HTB-88	X	"9,10"	12	"8,11"	0	0	0	0	0	"11,13"	"8,9"	0	0	0	"6,7"	"8,9"	"18,20"
																			
SNU-16	SNU-16	GNE:586306	X	12	"8,12"	"11,13"	"14,16"	0	"29,33.2"	0	"15,16"	"10,13"	12	14	23	E	"6,9"	11	16
																			
MM466	0	0	X	"10,11"	11	"12,13"	"12,19"	"14,15"	"28,29"	17	15	"11,12"	"9,10"	"10,12"	"22,26"	0	"9,9.3"	9	"15,17"
																			
NCI-BL1672	NCI-BL1672	GNE:586444	"X,Y"	"10,11"	"11,13"	"9,11"	"13,14"	0	"29,32.2"	0	"16,18"	"11,13"	10	"11,14"	21	E	"6,10"	"11,12"	17
																			
H-1184	0	DSM:ACC-502	"X,Y"	10	11	"11,12"	0	0	0	0	0	12	"10,12"	0	0	0	"6,9.3"	"8,9"	"16,17"
																			
CCD-33Lu	CCD-33Lu	ATCC:CRL-1490	"X,Y"	"10,11"	11	"11,13"	0	0	0	0	0	"11,12"	"11,13"	0	0	0	"6,9.3"	"9,11"	"15,16"
																			
CCD-1127Sk	CCD-1127Sk	ATCC:CRL-2565	"X,Y"	"12,13"	12	"10,11"	0	0	0	0	0	11	"8,10"	0	0	0	"9,9.3"	"8,10"	"17,18"
																			
hTERT RPE-1	hTERT RPE-1	GNE:584458	X	"12,14"	"11,12"	11	"14,16"	0	"31,32.2"	0	"15,16"	11	"10,11"	10	"20,23"	E	9	8	"17,18"
																			
LL 86 (LeSa)	LL 86 (LeSa)	ATCC:CCL-190	"X,Y"	12	12	"9,13"	0	0	0	0	0	"12,13"	11	0	0	0	"6,7"	8	"16,18"
																			
NCI-H209	NCI-H209	GNE:586132	"X,Y"	11	11	"9,12"	13	0	32.2	0	18	12	9	"12,13"	"20,24"	E	"7,9"	8	"18,19"
																			
